date,ticker,name,type,quantity,price,fee,currency
2025-10-01T09:00:33Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,BUY,0.56993651,97.66,,EUR
2025-10-01T09:01:01Z,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),BUY,0.66705551,94.01,,EUR
2025-10-01T09:02:13Z,IS3K,iShares High Yield Corporate Bond Dist ETF,BUY,0.41468801,76.06,,EUR
2025-10-28T10:00:33Z,EXW1,iShares EURO STOXX 50 ETF (Dist),BUY,0.19393621,57.39,,EUR
2025-10-28T10:01:15Z,AMEM,Amundi MSCI Emerging Markets ETF (Acc),BUY,1.56632165,6.17,,EUR
2025-10-28T10:01:26Z,DBXJ,Xtrackers MSCI Japan UCITS ETF 1C,BUY,0.11168457,86.05,,EUR
2025-10-28T10:01:39Z,IS3K,iShares High Yield Corporate Bond Dist ETF,BUY,0.32593109,77.41,,EUR
2025-10-28T10:01:59Z,IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),BUY,0.66346863,67.75,,EUR
2025-10-28T10:02:29Z,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),BUY,0.39056527,99.42,,EUR
2025-10-28T10:03:12Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,BUY,0.29534173,104.76,,EUR
2025-10-28T10:03:24Z,XUCD,Xtrackers MSCI USA Consumer Discretionary ETF (Dist),BUY,0.2865999,83.88,,EUR
2026-01-15T10:39:49Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,BUY,0.40934229,101.26,,EUR
2026-01-15T10:39:49Z,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),BUY,0.18747546,101.88,,EUR
2026-01-15T10:39:49Z,AMEM,Amundi MSCI Emerging Markets ETF (Acc),BUY,0.02124979,6.59,,EUR
2026-01-15T10:39:50Z,XUCD,Xtrackers MSCI USA Consumer Discretionary ETF (Dist),BUY,0.0961045,85.74,,EUR
2026-01-15T10:39:50Z,EXW1,iShares EURO STOXX 50 ETF (Dist),BUY,0.01496464,60.81,,EUR
2026-01-15T10:40:51Z,IS3K,iShares High Yield Corporate Bond Dist ETF,BUY,0.24125436,75.90,,EUR
2026-01-15T10:40:51Z,IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),BUY,0.17149758,70.38,,EUR
2026-02-18T13:00:14Z,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),SELL,4.64959134,98.45,,EUR
2026-02-18T13:00:16Z,EXW1,iShares EURO STOXX 50 ETF (Dist),SELL,1.7700259,61.33,,EUR
2026-02-18T13:00:22Z,IS3K,iShares High Yield Corporate Bond Dist ETF,SELL,2.83941785,74.67,,EUR
2026-02-18T13:00:22Z,IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),SELL,6.41237014,70.14,,EUR
2026-02-18T13:00:33Z,XUCD,Xtrackers MSCI USA Consumer Discretionary ETF (Dist),SELL,2.50747835,78.71,,EUR
2026-02-18T13:00:43Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,SELL,4.25652428,95.83,,EUR
2026-02-18T13:00:48Z,DBXJ,Xtrackers MSCI Japan UCITS ETF 1C,SELL,1.17407374,96.42,,EUR
2026-02-18T13:01:24Z,AMEM,Amundi MSCI Emerging Markets ETF (Acc),SELL,16.3775562,6.80,,EUR
2026-02-19T10:00:01Z,LGQK,Amundi MSCI Pacific Ex Japan UCITS ETF (Dist),BUY,0.30291056,103.76,,EUR
2026-02-19T10:00:13Z,PRAJ,Amundi Prime Japan UCITS ETF DR (Acc),BUY,2.34749928,34.59,,EUR
2026-02-19T10:00:25Z,LYMS,Amundi Nasdaq-100 II UCITS ETF (Acc),BUY,4.89500117,85.62,,EUR
2026-02-19T10:00:37Z,WELK,Amundi S&P Global Financials ESG Acc UCITS ETF,BUY,4.74255969,17.67,,EUR
2026-02-19T10:00:41Z,LYP5,Amundi S&P 500 II ETF (Acc),BUY,0.86937556,421.82,,EUR
2026-02-19T10:00:46Z,EBUY,Amundi MSCI Digital Economy and Metaverse ESG Screened UCITS ETF (Acc),BUY,5.29902643,15.82,,EUR
2026-02-19T10:00:51Z,LYP6,Amundi Stoxx Europe 600 UCITS ETF (Acc),BUY,0.71942422,302.20,,EUR
2026-02-19T10:00:54Z,XDWI,Xtrackers MSCI World Industrials UCITS ETF (Acc),BUY,1.1477475,73.03,,EUR
2026-02-19T10:01:04Z,AMEL,Amundi MSCI Emerging Markets Latin America UCITS ETF EUR (Acc),BUY,1.96945489,21.28,,EUR
2026-02-19T10:01:19Z,79U0,Amundi S&P 500 II EUR Hedged ETF (Acc),BUY,1.36983579,191.22,,EUR
2026-02-19T10:01:32Z,LEMA,Amundi MSCI Emerging Markets ETF (Acc),BUY,4.11697144,66.17,,EUR
2026-02-19T10:01:33Z,2B72,iShares MSCI Europe Mid Cap ETF (Acc),BUY,8.53129771,9.82,,EUR
2026-02-19T10:02:02Z,UBUD,UBS Solactive Global Pure Gold Miners UCITS ETF (Dist),BUY,0.91964112,51.27,,EUR
2026-03-06T10:00:00Z,XDWI,Xtrackers MSCI World Industrials UCITS ETF (Acc),SELL,1.1477475,72.12,,EUR
2026-03-06T10:00:00Z,EBUY,Amundi MSCI Digital Economy and Metaverse ESG Screened UCITS ETF (Acc),SELL,5.29902643,15.97,,EUR
2026-03-06T10:00:00Z,UBUD,UBS Solactive Global Pure Gold Miners UCITS ETF (Dist),SELL,0.91964112,52.12,,EUR
2026-03-06T10:00:00Z,PRAJ,Amundi Prime Japan UCITS ETF DR (Acc),SELL,2.34749928,33.17,,EUR
2026-03-06T10:00:00Z,LYP6,Amundi Stoxx Europe 600 UCITS ETF (Acc),SELL,0.71942422,291.21,,EUR
2026-03-06T10:00:00Z,2B72,iShares MSCI Europe Mid Cap ETF (Acc),SELL,8.53129771,9.50,,EUR
2026-03-06T10:00:00Z,WELK,Amundi S&P Global Financials ESG Acc UCITS ETF,SELL,4.74255969,17.11,,EUR
2026-03-06T10:00:00Z,AMEL,Amundi MSCI Emerging Markets Latin America UCITS ETF EUR (Acc),SELL,1.96945489,20.39,,EUR
2026-03-06T10:00:00Z,LYMS,Amundi Nasdaq-100 II UCITS ETF (Acc),SELL,4.89500117,87.41,,EUR
2026-03-06T10:00:16Z,LYP5,Amundi S&P 500 II ETF (Acc),SELL,0.86937556,425.62,,EUR
2026-03-06T10:01:09Z,79U0,Amundi S&P 500 II EUR Hedged ETF (Acc),SELL,1.36983579,189,,EUR
2026-03-06T10:01:27Z,LEMA,Amundi MSCI Emerging Markets ETF (Acc),SELL,4.11697144,63.82,,EUR
2026-03-06T10:06:05Z,LGQK,Amundi MSCI Pacific Ex Japan UCITS ETF (Dist),SELL,0.30291056,102.77,,EUR
2025-04-28T16:22:15Z,GOOGL,Alphabet (Class A),BUY,1,159,,USD
2025-07-01T13:31:11Z,FSS,Federal Signal Corporation,BUY,1.0060275,106.18,1.18,USD
2025-07-21T13:31:40Z,MU,Micron Technology,BUY,1,112.80,1.16,USD
2025-07-30T17:14:45Z,FSS,Federal Signal Corporation,SELL,0.5,127.66,0.01,USD
2025-07-30T17:27:24Z,FSS,Federal Signal Corporation,SELL,0.5060275,126.61,1.16,USD
2025-08-01T13:19:23Z,MU,Micron Technology,BUY,1,105.50,1.14,USD
2025-08-20T13:30:35Z,MU,Micron Technology,SELL,2,117.38,1.18,USD
2025-08-28T13:30:29Z,RL,Ralph Lauren,BUY,0.85606367,296.52,1.16,USD
2025-09-19T19:03:02Z,GOOGL,Alphabet (Class A),SELL,1,255,0.01,USD
2025-09-22T17:42:57Z,NVDA,NVIDIA,BUY,1.39008721,182.89,1.18,USD
2025-10-20T18:47:05Z,AAPL,Apple,BUY,1,263.05,1.16,USD
2025-11-12T20:37:19Z,AIZ,Assurant,BUY,1.31618586,227.05,1.16,USD
2026-03-05T20:25:39Z,AIZ,Assurant,SELL,1.31618586,227.17,1.17,USD
2026-03-05T20:26:05Z,RL,Ralph Lauren,SELL,0.85606367,352.28,1.17,USD
2026-03-05T20:26:54Z,AAPL,Apple,SELL,1,259.29,1.17,USD
2026-03-05T20:27:18Z,NVDA,NVIDIA,SELL,1.39008721,182.16,1.17,USD
2025-05-26T06:04:55Z,ENL,Enel S.P.A.,BUY,40.4019668,8.14,0.33,EUR
2025-06-02T17:43:26Z,AJ3,Acciona S.A.,BUY,0.81527196,143.40,0.23,EUR
2025-07-01T10:18:40Z,41L,"Laboratorios Farmaceuticos Rovi, S.A.",BUY,2,54.70,0.22,EUR
2025-07-14T07:38:22Z,ENL,Enel S.P.A.,BUY,12,7.95,1.10,EUR
2025-08-18T06:00:27Z,AJ3,Acciona S.A.,SELL,0.81527196,174.40,1.00,EUR
2025-08-27T07:05:22Z,OZTA,Grifols S.A.,BUY,12,12.17,1.29,EUR
2025-10-02T18:32:26Z,ENL,Enel S.P.A.,SELL,22,8.10,1.00,EUR
2025-10-20T17:52:25Z,OZTA,Grifols S.A.,SELL,12,11.72,1.00,EUR
2025-10-22T13:46:27Z,ENL,Enel S.P.A.,SELL,30,8.45,,EUR
2025-11-03T08:15:58Z,VHM,Sacyr SA,BUY,28,3.79,0.21,EUR
2026-01-12T07:00:18Z,REP,Repsol S.A.,BUY,18.25609756,16.40,0.60,EUR
2026-01-27T18:38:19Z,7LB,Lotus Bakeries S.A.,BUY,0.04100719,9730,1.00,EUR
2026-01-30T07:00:12Z,ENL,Enel S.P.A.,SELL,0.4019668,9.23,,EUR
2026-02-27T08:59:43Z,CAD,Cie Automotive S.A.,BUY,9.26708074,32.20,1.60,EUR
2026-03-04T08:57:53Z,41L,"Laboratorios Farmaceuticos Rovi, S.A.",SELL,2,79.80,1.00,EUR
2026-03-06T07:00:04Z,7LB,Lotus Bakeries S.A.,SELL,0.04100719,10299.90,1.06,EUR
2026-03-06T07:00:05Z,VHM,Sacyr SA,SELL,28,4.23,1.00,EUR
