Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-04-15T06:09:47.845199Z,,CASH TOP-UP,,,EUR 500,EUR,1.0000
2025-04-15T12:00:01.995Z,EXW1,BUY - MARKET,0.5027652,EUR 49.73,EUR 25,EUR,1.0000
2025-04-15T12:00:02.098Z,DBXJ,BUY - MARKET,0.35532612,EUR 70.36,EUR 25,EUR,1.0000
2025-04-15T12:00:02.504Z,XUCD,BUY - MARKET,0.74239049,EUR 67.35,EUR 50,EUR,1.0000
2025-04-15T12:00:24.696Z,EXI2,BUY - MARKET,1.46725392,EUR 74.97,EUR 110,EUR,1.0000
2025-04-15T12:02:38.203Z,AMEM,BUY - MARKET,5.25254179,EUR 4.76,EUR 25,EUR,1.0000
2025-04-15T12:02:49.305Z,IS3K,BUY - MARKET,0.65466448,EUR 76.38,EUR 50,EUR,1.0000
2025-04-15T12:03:01.221Z,XDWT,BUY - MARKET,1.38715493,EUR 72.09,EUR 100,EUR,1.0000
2025-04-15T12:03:13.103Z,IS3Q,BUY - MARKET,1.80257509,EUR 58.25,EUR 105,EUR,1.0000
2025-04-22T05:28:08.368813Z,,CASH TOP-UP,,,EUR 200,EUR,1.0000
2025-04-22T13:45:01.293Z,EXW1,BUY - MARKET,0.18077849,EUR 49.84,EUR 9.01,EUR,1.0000
2025-04-22T13:45:01.296Z,XUCD,BUY - MARKET,0.32771535,EUR 64.08,EUR 21,EUR,1.0000
2025-04-22T13:45:01.789Z,DBXJ,BUY - MARKET,0.12209076,EUR 71.75,EUR 8.76,EUR,1.0000
2025-04-22T13:45:03.603Z,AMEM,BUY - MARKET,1.95685214,EUR 4.74,EUR 9.27,EUR,1.0000
2025-04-22T13:45:28.152Z,IS3K,BUY - MARKET,0.24381038,EUR 76.04,EUR 18.54,EUR,1.0000
2025-04-22T13:45:35.356Z,IS3Q,BUY - MARKET,0.73936924,EUR 56.44,EUR 41.73,EUR,1.0000
2025-04-22T13:45:40.186Z,EXI2,BUY - MARKET,0.63182135,EUR 71.65,EUR 45.27,EUR,1.0000
2025-04-22T13:45:45.713Z,XDWT,BUY - MARKET,0.62974404,EUR 67.98,EUR 42.81,EUR,1.0000
2025-05-02T08:21:02.688516Z,,CASH TOP-UP,,,EUR 56,EUR,1.0000
2025-05-02T13:45:02.051Z,DBXJ,BUY - MARKET,0.05748667,EUR 74.97,EUR 4.31,EUR,1.0000
2025-05-02T13:45:02.451Z,IS3Q,BUY - MARKET,0.23373414,EUR 60.71,EUR 14.19,EUR,1.0000
2025-05-02T13:45:02.667Z,XUCD,BUY - MARKET,0.06331077,EUR 70.92,EUR 4.49,EUR,1.0000
2025-05-02T13:45:04.072Z,XDWT,BUY - MARKET,0.04843709,EUR 77.42,EUR 3.75,EUR,1.0000
2025-05-02T13:45:05.680Z,EXW1,BUY - MARKET,0.06999437,EUR 53.29,EUR 3.73,EUR,1.0000
2025-05-02T13:45:10.314Z,AMEM,BUY - MARKET,0.67579543,EUR 5.08,EUR 3.43,EUR,1.0000
2025-05-02T13:45:16.684Z,IS3K,BUY - MARKET,0.12716718,EUR 77.69,EUR 9.88,EUR,1.0000
2025-05-02T13:45:23.707Z,EXI2,BUY - MARKET,0.12452638,EUR 79.18,EUR 9.86,EUR,1.0000
2025-05-15T00:28:48.372725Z,,ROBO MANAGEMENT FEE,,,EUR -0.36,EUR,1.0000
2025-06-15T00:34:56.718652Z,,ROBO MANAGEMENT FEE,,,EUR -0.44,EUR,1.0000
2025-06-17T17:19:12.623905Z,EXW1,DIVIDEND,,,EUR 0.29,EUR,1.0000
2025-06-17T20:27:27.113951Z,EXI2,DIVIDEND,,,EUR 0.67,EUR,1.0000
2025-06-24T06:42:44.636933Z,,CASH TOP-UP,,,EUR 150,EUR,1.0000
2025-06-24T12:00:01.244Z,AMEM,BUY - MARKET,1.42946046,EUR 5.30,EUR 7.58,EUR,1.0000
2025-06-24T12:00:01.341Z,EXW1,BUY - MARKET,0.15946597,EUR 53.93,EUR 8.60,EUR,1.0000
2025-06-24T12:00:02.053Z,DBXJ,BUY - MARKET,0.12456671,EUR 74.98,EUR 9.34,EUR,1.0000
2025-06-24T12:00:02.054Z,XDWT,BUY - MARKET,0.24274898,EUR 85.85,EUR 20.84,EUR,1.0000
